latitud,longitud,identificador
-34.888014,-57.998184,LP3444
-34.870423,-58.056636,LP10526
-34.874366,-58.052850,LP10133
-34.873349,-58.054948,LP10131
-34.863596,-58.054022,LP10500
-34.871797,-58.057848,LP10521
-34.882685,-58.058730,LP10541
-34.885179,-58.060442,LP10544
-34.886213,-58.061134,LP10546
-34.887962,-58.062174,LP10549
-34.889436,-58.062839,LP10551
-34.893651,-58.065404,LP10553
-34.895224,-58.066256,LP10555
-34.898563,-58.067815,LP10557
-34.901919,-58.069548,LP10559
-34.903996,-58.070631,LP10561
-34.892203,-58.064575,LP10583
-34.867197,-58.058600,LP10709
-34.868346,-58.059125,LP10727
-34.865079,-58.054552,LP11580
-34.866844,-58.055287,LP11581
-34.867716,-58.056473,LP11582
-34.869310,-58.059481,LP11583
-34.870115,-58.056780,LP11585
-34.901578,-58.081059,LP10404
-34.902936,-58.075703,LP10406
-34.908970,-58.093912,LP10426
-34.909533,-58.091423,LP10428
-34.910236,-58.088882,LP10511
-34.904209,-58.082187,LP10513
-34.906946,-58.083185,LP10515
-34.908837,-58.083829,LP10517
-34.911037,-58.084580,LP10519
-34.912284,-58.089340,LP11560
-34.882898,-58.058599,LP10540
-34.885444,-58.060409,LP10545
-34.888110,-58.062074,LP10548
-34.889241,-58.062771,LP10550
-34.893874,-58.065243,LP10552
-34.895502,-58.066097,LP10554
-34.898842,-58.067714,LP10556
-34.902212,-58.069628,LP10558
-34.892510,-58.064357,LP10582
-34.880991,-58.057364,LP10592
-34.867368,-58.058693,LP10710
-34.868507,-58.059070,LP10726
-34.869420,-58.059302,LP11584
-34.870106,-58.056410,LP11586
-34.871612,-58.053372,LP11587
-34.867715,-58.056813,LP11709
-34.867024,-58.055306,LP11710
-34.865306,-58.054539,LP11711
-34.911256,-58.084388,LP`10518
-34.901982,-58.081235,LP10403
-34.903095,-58.075477,LP10405
-34.909063,-58.093401,LP10425
-34.909608,-58.091105,LP10427
-34.910384,-58.088959,LP10510
-34.904489,-58.082114,LP10512
-34.907226,-58.083048,LP10514
-34.909047,-58.083680,LP10516
-34.904157,-58.070830,LP10560
-34.912157,-58.089565,LP11561
-34.881677,-58.031494,LP10134
-34.884075,-58.032255,LP10624
-34.896837,-57.985294,LP10094
-34.873308,-58.028569,LP10618
-34.876532,-58.029605,LP10620
-34.880370,-58.030935,LP10622
-34.886227,-58.033078,LP10638
-34.896991,-57.980399,LP10752
-34.897004,-57.982244,LP10754
-34.892879,-57.990645,LP11001
-34.891454,-57.992533,LP11002
-34.888814,-57.996009,LP11003
-34.895386,-57.987260,LP11017
-34.898795,-57.971013,LP2115
-34.897215,-57.973325,LP2117
-34.888017,-57.998436,LP3445
-34.850274,-58.075556,LP10449
-34.873777,-58.058901,LP10149
-34.876018,-58.059162,LP10164
-34.876786,-58.057665,LP10165
-34.877886,-58.055562,LP10166
-34.878458,-58.054392,LP10167
-34.879004,-58.053201,LP10168
-34.879471,-58.052193,LP10169
-34.880844,-58.049897,LP10170
-34.881416,-58.048202,LP10171
-34.872139,-58.057970,LP10520
-34.862571,-58.034985,LP10603
-34.867808,-58.038085,LP10604
-34.882208,-58.023507,LP10641
-34.882990,-58.037578,LP11600
-34.883580,-58.035185,LP11602
-34.882383,-58.040045,LP11604
-34.881769,-58.042416,LP11605
-34.881887,-58.029971,LP11606
-34.882600,-58.026977,LP11607
-34.882468,-58.023469,LP11608
-34.876364,-58.020357,LP11609
-34.881862,-58.031408,LP11610
-34.881179,-58.044819,LP11611
-34.880792,-58.046525,LP11612
-34.874112,-58.048526,LP11715
-34.859427,-58.042002,LP11716
-34.859823,-58.041026,LP11717
-34.860211,-58.040082,LP11718
-34.860994,-58.038441,LP11719
-34.861787,-58.036627,LP11720
-34.862350,-58.035168,LP11721
-34.863374,-58.035469,LP11722
-34.864592,-58.036209,LP11723
-34.865367,-58.036692,LP11724
-34.866916,-58.037775,LP11725
-34.878360,-58.021731,LP1995
-34.877403,-58.021213,LP3171
-34.875261,-58.060430,LP10199
-34.852447,-58.078254,LP10454
-34.852047,-58.080401,LP11705
-34.909842,-57.945569,LP10209
-34.911663,-57.947597,LP10210
-34.913466,-57.948300,LP10214
-34.908677,-58.035514,LP10392
-34.905553,-58.032603,LP10646
-34.906820,-58.033869,LP10647
-34.907796,-58.034662,LP10648
-34.901813,-58.029119,LP11202
-34.900388,-58.033830,LP11205
-34.899637,-58.037378,LP11555
-34.912122,-58.061827,LP 10273
-34.906572,-58.071855,LP10563
-34.909242,-58.073180,LP10565
-34.917066,-58.077209,LP10569
-34.922150,-58.079644,LP10573
-34.931140,-58.089278,LP10575
-34.938001,-58.097584,LP15209
-34.947337,-58.102966,LP10100
-34.938656,-58.097519,LP15201
-34.931849,-58.089644,LP15202
-34.922738,-58.079559,LP15203
-34.917830,-58.076941,LP15204
-34.909894,-58.073165,LP15205
-34.891270,-58.008078,LP10833
-34.907899,-57.972525,LP1502
-34.909223,-57.970712,LP1504
-34.912249,-57.966864,LP1508
-34.914625,-57.963610,LP1514
-34.889796,-58.006371,LP3426
-34.888089,-58.004300,LP3428
-34.916834,-57.961442,LP1322
-34.912549,-57.966678,LP1509
-34.891358,-58.008397,LP3425
-34.889426,-58.006311,LP3427
-34.887679,-58.004293,LP3429
-34.883579,-58.035052,LP`10162
-34.881993,-58.029638,LP10135
-34.882733,-58.026709,LP10136
-34.876215,-58.053804,LP10152
-34.880686,-58.047195,LP10156
-34.880933,-58.045994,LP10157
-34.881258,-58.044546,LP10158
-34.881892,-58.042175,LP10159
-34.882383,-58.039848,LP10160
-34.882928,-58.037434,LP10161
-34.862982,-58.035295,LP10595
-34.863735,-58.035761,LP10596
-34.864369,-58.036174,LP10597
-34.865289,-58.036765,LP10598
-34.878670,-58.021865,LP10640
-34.883150,-58.023764,LP10642
-34.876320,-58.020470,LP10643
-34.859181,-58.042457,LP10744
-34.859577,-58.041583,LP10745
-34.859920,-58.040800,LP10746
-34.860365,-58.039764,LP10747
-34.861075,-58.038100,LP10748
-34.861390,-58.037152,LP10749
-34.861778,-58.036248,LP10750
-34.867232,-58.037806,LP2761
-34.902589,-57.971062,LP2408
-34.905850,-57.976047,LP2700
-34.864717,-58.104978,LP15120
-34.862041,-58.101952,LP15121
-34.859312,-58.098777,LP15123
-34.857058,-58.096223,LP15124
-34.855562,-58.094742,LP15125
-34.854822,-58.093895,LP15126
-34.852401,-58.092232,LP15127
-34.851934,-58.090129,LP15128
-34.851384,-58.088423,LP15129
-34.850380,-58.088021,LP15130
-34.849663,-58.086664,LP15131
-34.849971,-58.084730,LP15132
-34.850609,-58.082558,LP15133
-34.851164,-58.080444,LP15134
-34.851498,-58.074481,LP15101
-34.852502,-58.072587,LP15102
-34.853453,-58.071654,LP15103
-34.855002,-58.072018,LP15106
-34.855390,-58.074186,LP15107
-34.872607,-58.043810,LP15108
-34.872008,-58.045012,LP15109
-34.870934,-58.047211,LP15110
-34.872649,-58.055999,LP15111
-34.874366,-58.057275,LP15112
-34.876153,-58.058531,LP15113
-34.875196,-58.090799,LP15114
-34.877062,-58.092451,LP15115
-34.878294,-58.093610,LP15116
-34.880565,-58.095606,LP15117
-34.882624,-58.097708,LP15118
-34.884965,-58.100498,LP15119
-34.866648,-58.103996,LP0768
-34.867511,-58.101785,LP0770
-34.868382,-58.099693,LP0772
-34.887488,-58.102826,LP15100
-34.885428,-58.100438,LP15136
